Day,Houston Astros: (United States),Minnesota Twins: (United States),New York Mets: (United States),New York Yankees: (United States),Philadelphia Phillies: (United States)
6/1/2019,5,6,4,13,4
6/2/2019,6,6,5,15,7
6/3/2019,3,3,2,10,3
6/4/2019,4,3,3,7,4
6/5/2019,4,3,4,8,6
6/6/2019,5,6,4,8,3
6/7/2019,4,4,3,8,3
6/8/2019,7,7,4,11,6
6/9/2019,5,5,5,11,5
6/10/2019,2,3,3,8,3
6/11/2019,2,2,5,11,4
6/12/2019,4,5,4,9,4
6/13/2019,5,7,3,6,3
6/14/2019,3,3,5,7,3
6/15/2019,7,7,4,9,4
6/16/2019,5,10,6,16,7
6/17/2019,3,3,2,8,3
6/18/2019,3,4,3,10,4
6/19/2019,4,8,3,13,4
6/20/2019,3,6,4,8,3
6/21/2019,4,4,4,12,4
6/22/2019,4,8,4,14,6
6/23/2019,7,6,5,19,5
6/24/2019,3,2,4,7,3
6/25/2019,3,3,4,11,4
6/26/2019,4,4,3,14,4
6/27/2019,6,9,5,7,8
6/28/2019,3,3,3,7,3
6/29/2019,5,6,5,22,5
6/30/2019,7,7,5,22,4
7/1/2019,2,2,4,7,2
7/2/2019,2,2,3,7,2
7/3/2019,4,4,5,10,4
7/4/2019,4,7,4,13,4
7/5/2019,3,3,3,10,4
7/6/2019,5,8,4,15,5
7/7/2019,7,6,6,10,6
7/8/2019,3,2,2,4,2
7/9/2019,2,1,3,4,2
7/10/2019,2,2,2,5,1
7/11/2019,2,1,2,4,1
7/12/2019,3,2,2,6,2
7/13/2019,4,6,3,12,4
7/14/2019,7,7,4,10,7
7/15/2019,3,2,2,7,2
7/16/2019,4,3,2,9,4
7/17/2019,4,6,4,10,6
7/18/2019,4,3,2,12,10
7/19/2019,4,5,4,12,3
7/20/2019,5,6,4,15,5
7/21/2019,7,9,4,12,7
7/22/2019,3,3,2,7,3
7/23/2019,5,7,2,10,3
7/24/2019,6,11,3,14,6
7/25/2019,3,8,4,13,3
7/26/2019,3,6,3,13,3
7/27/2019,5,9,4,18,5
7/28/2019,7,10,8,13,8
7/29/2019,3,4,6,14,3
7/30/2019,4,4,5,11,3
7/31/2019,9,8,8,21,6
8/1/2019,6,7,7,8,5
8/2/2019,5,3,4,8,3
8/3/2019,7,8,4,18,8
8/4/2019,10,12,7,21,7
8/5/2019,3,3,6,15,2
8/6/2019,3,7,8,11,3
8/7/2019,8,10,9,13,4
8/8/2019,3,3,4,12,4
8/9/2019,3,6,4,11,3
8/10/2019,5,9,13,15,5
8/11/2019,11,13,16,11,3
8/12/2019,3,3,3,10,3
8/13/2019,5,3,4,11,3
8/14/2019,7,10,5,12,4
8/15/2019,3,3,6,8,4
8/16/2019,4,5,6,10,7
8/17/2019,7,7,6,15,6
8/18/2019,4,12,8,13,8
8/19/2019,3,3,3,5,2
8/20/2019,4,5,3,5,2
8/21/2019,4,8,6,8,4
8/22/2019,4,3,7,8,4
8/23/2019,4,3,10,8,2
8/24/2019,6,7,11,19,6
8/25/2019,7,9,9,10,5
8/26/2019,3,2,2,11,2
8/27/2019,2,2,3,9,4
8/28/2019,4,4,5,11,4
8/29/2019,6,7,5,6,3
8/30/2019,3,3,3,6,2
8/31/2019,5,7,5,12,5
9/1/2019,5,7,4,12,4
9/2/2019,5,5,6,13,5
9/3/2019,3,3,2,6,2
9/4/2019,3,5,8,8,3
9/5/2019,2,5,3,7,4
9/6/2019,5,5,3,5,2
9/7/2019,6,8,6,12,3
9/8/2019,7,10,6,8,4
9/9/2019,3,2,2,11,2
9/10/2019,5,2,3,9,3
9/11/2019,6,5,4,9,3
9/12/2019,4,5,7,10,3
9/13/2019,4,5,3,8,3
9/14/2019,5,10,6,13,3
9/15/2019,6,10,6,10,4
9/16/2019,2,3,4,5,1
9/17/2019,3,5,3,6,1
9/18/2019,4,8,5,9,2
9/19/2019,5,6,3,10,3
9/20/2019,3,7,3,10,2
9/21/2019,7,8,6,12,3
9/22/2019,10,11,4,9,3
9/23/2019,3,3,3,5,2
9/24/2019,3,3,3,5,3
9/25/2019,5,5,4,9,2
9/26/2019,5,8,4,7,2
9/27/2019,5,3,3,5,1
9/28/2019,7,8,4,11,3
9/29/2019,9,6,6,11,3
9/30/2019,3,3,2,5,2
10/1/2019,3,2,1,4,1
10/2/2019,3,2,1,4,1
10/3/2019,4,3,2,6,1
10/4/2019,19,9,2,16,1
10/5/2019,10,30,1,48,1
10/6/2019,23,8,1,17,1
10/7/2019,21,5,1,10,1
10/8/2019,15,18,1,28,1
10/9/2019,22,2,1,7,1
10/10/2019,18,1,1,8,2
10/11/2019,37,1,1,10,1
10/12/2019,15,1,1,16,1
10/13/2019,36,1,1,43,1
10/14/2019,47,<1,1,44,1
10/15/2019,40,1,1,38,1
10/16/2019,31,1,1,33,1
10/17/2019,24,<1,1,26,1
10/18/2019,68,<1,1,69,1
10/19/2019,63,<1,1,66,1
10/20/2019,100,1,1,85,1
10/21/2019,12,<1,1,7,1
10/22/2019,18,<1,1,4,1
10/23/2019,59,1,1,4,1
10/24/2019,59,1,2,3,2
10/25/2019,18,1,2,2,1
10/26/2019,70,1,1,2,1
10/27/2019,74,1,1,3,1
10/28/2019,57,<1,1,2,1
10/29/2019,22,<1,1,2,1
10/30/2019,81,<1,1,2,1
10/31/2019,92,2,1,3,1
