Day,Chicago Cubs: (United States),Minnesota Twins: (United States),New York Mets: (United States),New York Yankees: (United States),Philadelphia Phillies: (United States)
10/1/2016,2,<1,2,1,<1
10/2/2016,2,<1,1,1,<1
10/3/2016,1,<1,1,<1,<1
10/4/2016,1,<1,1,<1,<1
10/5/2016,1,<1,2,<1,<1
10/6/2016,3,<1,6,<1,<1
10/7/2016,4,<1,1,<1,<1
10/8/2016,15,<1,<1,<1,<1
10/9/2016,12,<1,<1,<1,<1
10/10/2016,4,<1,<1,<1,<1
10/11/2016,17,<1,<1,<1,<1
10/12/2016,17,<1,<1,<1,<1
10/13/2016,3,<1,<1,<1,<1
10/14/2016,4,<1,<1,<1,<1
10/15/2016,6,<1,<1,<1,<1
10/16/2016,21,<1,<1,<1,<1
10/17/2016,12,<1,<1,<1,<1
10/18/2016,5,<1,<1,<1,<1
10/19/2016,15,<1,<1,<1,<1
10/20/2016,22,<1,<1,<1,<1
10/21/2016,24,<1,<1,<1,<1
10/22/2016,12,<1,<1,<1,<1
10/23/2016,40,<1,<1,<1,<1
10/24/2016,6,<1,<1,<1,<1
10/25/2016,9,<1,<1,<1,<1
10/26/2016,27,<1,<1,<1,<1
10/27/2016,23,<1,<1,<1,<1
10/28/2016,9,<1,<1,<1,<1
10/29/2016,34,<1,<1,<1,<1
10/30/2016,31,<1,<1,<1,<1
10/31/2016,33,<1,<1,<1,<1
11/1/2016,8,<1,<1,<1,<1
11/2/2016,41,<1,<1,<1,<1
11/3/2016,100,<1,<1,1,<1
