Day,San Francisco Giants: (United States),Boston Red Sox: (United States),Chicago Cubs: (United States),Chicago White Sox: (United States),Cincinnati Reds: (United States)
9/30/2014,5,3,1,1,1
10/1/2014,9,2,2,1,1
10/2/2014,25,2,1,1,1
10/3/2014,27,2,1,1,1
10/4/2014,25,2,1,1,1
10/5/2014,55,2,1,1,1
10/6/2014,38,2,1,1,1
10/7/2014,21,1,1,<1,1
10/8/2014,41,2,1,1,1
10/9/2014,9,1,1,<1,<1
10/10/2014,8,1,1,<1,1
10/11/2014,13,2,1,1,1
10/12/2014,41,1,1,<1,1
10/13/2014,39,1,1,<1,1
10/14/2014,36,1,1,<1,1
10/15/2014,24,1,1,<1,1
10/16/2014,50,1,1,<1,1
10/17/2014,58,1,1,<1,1
10/18/2014,12,1,1,<1,1
10/19/2014,14,1,1,<1,1
10/20/2014,9,1,1,<1,1
10/21/2014,15,1,1,<1,1
10/22/2014,46,1,1,<1,1
10/23/2014,39,1,1,1,1
10/24/2014,18,1,2,<1,1
10/25/2014,55,1,2,<1,1
10/26/2014,71,1,2,<1,1
10/27/2014,45,1,2,<1,1
10/28/2014,18,1,1,<1,1
10/29/2014,59,2,3,1,1
10/30/2014,100,2,4,1,1
