Day,Boston Red Sox: (United States),Pittsburgh Pirates: (United States),San Diego Padres: (United States),San Francisco Giants: (United States),Seattle Mariners: (United States)
10/1/2008,11,1,1,2,1
10/2/2008,21,1,1,2,1
10/3/2008,13,1,1,2,1
10/4/2008,23,1,1,2,<1
10/5/2008,17,1,<1,5,1
10/6/2008,26,1,1,2,<1
10/7/2008,28,1,<1,2,1
10/8/2008,10,1,1,1,1
10/9/2008,10,1,1,2,<1
10/10/2008,13,1,<1,1,1
10/11/2008,31,1,1,2,0
10/12/2008,36,1,1,3,1
10/13/2008,22,1,1,3,<1
10/14/2008,18,1,1,5,<1
10/15/2008,20,1,<1,2,1
10/16/2008,16,1,<1,1,1
10/17/2008,44,1,1,1,1
10/18/2008,27,1,<1,1,1
10/19/2008,100,1,1,5,1
10/20/2008,43,1,1,2,1
10/21/2008,7,1,1,1,1
10/22/2008,5,1,1,1,1
10/23/2008,5,1,<1,1,1
10/24/2008,4,1,<1,1,1
10/25/2008,4,1,1,1,1
10/26/2008,4,1,<1,5,1
10/27/2008,3,1,<1,3,<1
10/28/2008,3,1,<1,2,1
