Day,Boston Red Sox: (United States),Colorado Rockies: (United States),Detroit Tigers: (United States),Houston Astros: (United States),Kansas City Royals: (United States)
10/1/2007,16,16,2,1,<1
10/2/2007,12,28,2,1,<1
10/3/2007,19,22,2,1,1
10/4/2007,18,17,2,<1,1
10/5/2007,15,8,1,1,0
10/6/2007,32,9,1,<1,0
10/7/2007,25,20,2,<1,<1
10/8/2007,14,8,1,<1,0
10/9/2007,16,7,2,1,<1
10/10/2007,12,6,1,<1,<1
10/11/2007,12,8,1,<1,<1
10/12/2007,22,14,2,<1,<1
10/13/2007,30,21,1,<1,<1
10/14/2007,44,13,1,<1,<1
10/15/2007,18,20,1,<1,1
10/16/2007,25,30,2,<1,<1
10/17/2007,26,13,1,<1,<1
10/18/2007,18,9,1,<1,<1
10/19/2007,35,8,2,1,1
10/20/2007,29,6,1,0,0
10/21/2007,62,9,1,0,<1
10/22/2007,81,75,1,<1,<1
10/23/2007,29,60,1,<1,<1
10/24/2007,33,18,1,<1,<1
10/25/2007,49,19,2,1,<1
10/26/2007,46,16,2,<1,<1
10/27/2007,28,10,1,<1,0
10/28/2007,56,19,1,1,0
10/29/2007,100,12,2,<1,<1
