Day,Chicago White Sox: (United States),Boston Red Sox: (United States),Chicago Cubs: (United States),Cincinnati Reds: (United States),Cleveland Guardians: (United States)
10/1/2005,10,72,4,1,15
10/2/2005,12,52,5,1,8
10/3/2005,16,34,4,0,4
10/4/2005,28,42,4,0,3
10/5/2005,18,27,4,1,3
10/6/2005,26,27,3,1,2
10/7/2005,25,37,4,1,2
10/8/2005,21,25,3,0,1
10/9/2005,10,12,3,1,1
10/10/2005,13,10,4,1,1
10/11/2005,22,11,4,1,1
10/12/2005,21,8,3,1,1
10/13/2005,29,8,3,1,2
10/14/2005,18,6,3,0,1
10/15/2005,25,6,2,1,1
10/16/2005,30,8,4,0,1
10/17/2005,58,6,5,1,1
10/18/2005,62,7,5,1,1
10/19/2005,21,8,3,1,1
10/20/2005,23,9,4,1,2
10/21/2005,25,7,4,1,2
10/22/2005,31,7,3,0,0
10/23/2005,41,8,4,0,0
10/24/2005,40,6,5,1,1
10/25/2005,23,6,4,1,2
10/26/2005,60,8,5,1,2
10/27/2005,100,10,10,1,2
