Day,Boston Red Sox: (United States),Minnesota Twins: (United States),New York Mets: (United States),yankees: (United States),Philadelphia Phillies: (United States)
10/1/2004,4,1,1,6,1
10/2/2004,5,2,1,4,1
10/3/2004,5,2,1,4,1
10/4/2004,6,2,1,4,<1
10/5/2004,11,2,1,5,<1
10/6/2004,7,4,1,6,<1
10/7/2004,10,4,1,8,0
10/8/2004,12,3,1,5,0
10/9/2004,11,5,1,9,0
10/10/2004,10,3,1,11,0
10/11/2004,9,1,1,8,0
10/12/2004,10,0,1,8,0
10/13/2004,15,1,1,14,0
10/14/2004,14,1,1,12,<1
10/15/2004,11,1,1,7,0
10/16/2004,13,1,1,10,0
10/17/2004,18,0,1,14,1
10/18/2004,28,1,1,18,0
10/19/2004,34,1,1,21,<1
10/20/2004,52,1,1,29,1
10/21/2004,100,1,1,34,1
10/22/2004,40,1,1,12,<1
10/23/2004,32,0,1,6,0
10/24/2004,38,1,1,5,0
10/25/2004,31,<1,1,5,<1
10/26/2004,21,1,1,4,<1
10/27/2004,36,<1,1,4,<1
10/28/2004,91,1,1,8,1
